Jurisdicción;CUE Anexo;Nombre;Sector;Ámbito;Domicilio;CP;Código de área;Teléfono;Código localidad;Localidad;Departamento;Mail;Ed. Común;Ed. Especial;Ed. Adultos;Ed. Artística;Ed. Hospitalaria Domiciliaria;Ed. Intercultural Bilingüe;Jardín maternal;Inicial;Primaria;Secundaria;Secundaria Técnica (INET);Superior no Universitario;Servicios complementarios
Buenos Aires;60000100;JARDÍN DE INFANTES Nº915 JAVIER VILLAFAÑE;Estatal;Urbano;TIRO FEDERAL 712  ;7300;02281;426487;6049005;AZUL;AZUL;jardin905azul@gmail.com; ji007915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60178800;COLEGIO SAN MIGUEL;Privado;Urbano;PASAJE SAN MIGUEL 777  ;1846;011;4294-5286;6028015;ADROGUE;ALMIRANTE BROWN;info@colegiosanmiguel.com; dji0042368@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60178900;CENTRO DE EDUCACION ESPECIAL TIEMPO DE CRECER;Privado;Urbano;P. Viera 50  Barrio Malvinas Argentinas;1846;011;4294-6532;6028015;ADROGUE;ALMIRANTE BROWN;tiempodecrecer@gmail.com; dee0043353@abc.gov.ar;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60179200;ESCUELA DE ADULTOS Nº701 BARTOLOMÉ MITRE;Estatal;Urbano;PASO 702  ;8109;02932;42-2854;6182017;PUNTA ALTA;CORONEL DE MARINA L ROSALES;danielaprienza@yahoo.com.ar; de112701@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60179201;CENTRO DE ADULTOS Nº703/01;Estatal;Urbano;BERNARDO DE IRIGOYEN 746  ;8109;nan;nan;6182017;PUNTA ALTA;CORONEL DE MARINA L ROSALES;danielaprienza@yahoo.com.ar; odc1120703@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60179202;CENTRO DE ADULTOS Nº704/01;Estatal;Urbano;BELGRANO 2008  ;8109;nan;nan;6182017;PUNTA ALTA;CORONEL DE MARINA L ROSALES;danielaprienza@yahoo.com.ar; odc1120704@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60179203;CENTRO DE ADULTOS Nº706/01;Estatal;Urbano;ROCA 3300  ;8109;02932;43-5188;6182017;PUNTA ALTA;CORONEL DE MARINA L ROSALES;danielaprienza@yahoo.com.ar; odc1120706@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60179300;ESCUELA DE EDUCACIÓN PRIMARIA Nº6 GENERAL MANUEL BELGRANO;Estatal;Urbano;AVENIDA MAIPU E/ LAVALLE Y ALVAREZ 501  ;1638;011;4797-1987;6861010;VICENTE LOPEZ;VICENTE LOPEZ;escuelaseis109@hotmail.com; pp109006@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60179400;ESCUELA DE EDUCACIÓN PRIMARIA Nº40 PROFESOR GINES GARCIA;Estatal;Urbano;MONTEVIDEO Y LAS HERAS. 750  ;2900;03461;42-1497;6763008;SAN NICOLAS DE LOS ARROYOS;SAN NICOLAS;escuela_40_jampleta@yahoo.com.ar; pp097040@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60179500;ESCUELA DE EDUCACIÓN PRIMARIA Nº22 ALMIRANTE BROWN;Estatal;Rural;ZONA RURAL s/n  OMBU;7545;02926;43-2260;6203009;HUANGUELEN;CORONEL SUAREZ;monicacabrera-22@hotmail.com; opp0250022@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60179600;ESCUELA DE EDUCACIÓN PRIMARIA Nº25 JUAN BAUTISTA CABRAL;Estatal;Urbano;ZONA RURAL-CUARTEL X. S/N  ;7545;02926;48-3785;6203009;HUANGUELEN;CORONEL SUAREZ;dananeliana@hotmail.com; opp0250025@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60179700;JARDÍN DE INFANTES Nº901 JUANA MANSO;Estatal;Urbano;52 (ESQ 18) 847  ;2720;02473;43-1383;6175002;COLON;COLON;901jardin@gmail.com; ji022901@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60179800;CENTRO DE ADULTOS Nº702;Estatal;Urbano;JOSE INGENIEROS 785  CIUDAD ATLANTIDA;8109;nan;nan;6182017;PUNTA ALTA;CORONEL DE MARINA L ROSALES;nan;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60179900;ESCUELA DE EDUCACIÓN PRIMARIA Nº3 STELLA MARIS;Estatal;Urbano;FLORIDA E/ JESUS MARIA Y CORRIENTES 751  ;8109;02932;43-5172;6182017;PUNTA ALTA;CORONEL DE MARINA L ROSALES;n3escuela@hotmail.com; opp1120003@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60180000;JARDÍN DE INFANTES Nº902;Estatal;Urbano;52 Y RUTA 8 252  MIRADOR DEL LAGO;2720;02473;43-0206;6175002;COLON;COLON;jardin902colonasbs@gmail.com; ji022902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60180100;JARDÍN DE INFANTES Nº903 ALEJANDRA MARICEL MAJOS;Estatal;Rural;4 E/14 Y 15 665  ;2711;02477;48-0710;6175011;PEARSON;COLON;oji0220903@abc.gov.ar; oji0220903@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60180200;ESCUELA DE EDUCACIÓN PRIMARIA Nº20 BARTOLOME MITRE;Estatal;Rural;CTEL 8.CAMINO REAL DE MOLL A RUTA PROV. 30  TORRES;6627;02227;15-41-7852;6574020;VILLA MOLL;NAVARRO;ep20navarro@yahoo.com; opp0740020@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60180300;ESCUELA DE EDUCACIÓN PRIMARIA Nº22 FRANCISCO NARCISO DE LAPRIDA;Estatal;Rural;CUARTEL II RUTA 47 S/N  CUARTEL IX;6605;0227;15-51-1056;6574017;NAVARRO;NAVARRO;ep22navarro@yahoo.com.ar; opp0740022@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60180400;ESCUELA DE EDUCACIÓN PRIMARIA Nº23 REMEDIOS ESCALADA DE SAN MARTIN;Estatal;Rural;CUARTEL VII S/N  SOL DE MAYO;7243;02227;15-51-1057;6574017;NAVARRO;NAVARRO;escuela23navarro@gmail.com; opp0740023@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60180500;INSTITUTO MANUEL BELGRANO;Privado;Urbano;EL CALLAO ESQ. BERUTTI 133  ;1888;011;4237-0081;6274005;FLORENCIO VARELA;FLORENCIO VARELA;inmabelgrano@hotmail.com; dpp0323560@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60180600;ESCUELA DE EDUCACIÓN PRIMARIA Nº17 ANTARTIDA ARGENTINA;Estatal;Rural;CUARTEL VI S/N  VILLA MARTINEZ;1987;02241;15-68-8370;6343006;RANCHOS;GENERAL PAZ;opp0410017@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60180700;ESCUELA DE EDUCACIÓN PRIMARIA Nº18 LEANDRO N. ALEM;Estatal;Urbano;RUTA 29 KM 50 S/N  EL PILAR;1987;02241;54-3431;6343006;RANCHOS;GENERAL PAZ;ep18ranchos@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60180800;JARDÍN MUNICIPAL PRESIDENTE YRIGOYEN;Estatal;Urbano;J. B. ALBERDI E/ J.B.JUSTO Y THAMES 250  ;2942;03329;48-6913;6070001;BARADERO;BARADERO;mji0102233@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60180900;JARDÍN MUNICIPAL Nº5 MARTHA SALOTTI;Estatal;Urbano;DEL CORRO 2200  ;2942;03329;48-6914;6070001;BARADERO;BARADERO;mgonnainty@hotmail.com; mji0103570@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181000;ESCUELA DE EDUCACIÓN PRIMARIA Nº5 MANUEL BELGRANO;Estatal;Rural;CUARTEL V. S/N  PARAJE LA LATA;2812;02325;15-68-1181;6266006;CAPILLA DEL SEÑOR;EXALTACION DE LA CRUZ;ep5paradalalata@gmail.com; opp0310005@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60181100;JARDÍN DE INFANTES Nº919 JUANA BAUTISTA MUSSO;Estatal;Rural;CAMINO VECINAL S/N  ;2718;02477;49-7162;6623012;FONTEZUELA;PERGAMINO;jardin919-fontezuela@hotmail.com; oji0810919@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181200;JARDÍN DE INFANTES Nº906 MI SUEÑO;Estatal;Rural;MENENDEZ (E/ MITRE Y ELIZALDE) S/N  ;2701;02477;49-3112;6623033;RANCAGUA;PERGAMINO;jardindeinfantes906.rancagua@hotmail.com; oji0810906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181300;ESCUELA DE ADULTOS Nº701 CANTON TAPALQUE;Estatal;Urbano;Rivadavia 175  ;7303;02283;42-0517;6798016;TAPALQUE;TAPALQUE;ode1030701@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181400;ESCUELA ESPECIAL NUEVO AMANECER;Privado;Urbano;ROSALES 3180  ;1846;011;4291-1182;6028007;JOSE MARMOL;ALMIRANTE BROWN;escuelanamanecer@yahoo.com.ar; dee0042498@abc.gov.ar;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181500;COLEGIO NUESTRA SEÑORA DEL CARMEN;Privado;Urbano;ROSALES Y LA ROSA 1685  ;1846;011;4214-0131;6028015;ADROGUE;ALMIRANTE BROWN;egbcarmen@yahoo.com.ar; dpp0040074@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60181600;ESCUELA DE ADULTOS Nº702 MAESTRO EDUARDO TORRES;Estatal;Urbano;BYNNON Y CORRIENTES   ARIN;1846;011;4236-6342;6028007;JOSE MARMOL;ALMIRANTE BROWN;ode0040702@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181601;CENTRO DE ADULTOS Nº712/02;Estatal;Urbano;LA PAMPA 756  ;1846;011;4269-7758;6028002;BARRIO SAN JOSE;ALMIRANTE BROWN;odc0040712@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181602;CENTRO DE ADULTOS Nº713/02;Estatal;Urbano;LA TORCAZA 849  ;1846;011;4269-7623;6028002;BARRIO SAN JOSE;ALMIRANTE BROWN;odc0040713@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181700;JARDÍN DE INFANTES Nº905 GRUMETE EDUARDO PRICE;Estatal;Urbano;MOLINA 750  ;1846;011;4219-5789;6028007;JOSE MARMOL;ALMIRANTE BROWN;jardin905grumeteprice@gmail.com; ji004905@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60181800;ESCUELA DE EDUCACIÓN PRIMARIA Nº71;Estatal;Urbano;SAN JUAN E/ COLON Y SAN JAVIER 1718  ;1847;011;4219-3713;6028013;RAFAEL CALZADA;ALMIRANTE BROWN;danielapersona@yahoo.com; opp0040071@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60181900;ESCUELA ESPECIAL Nº507;Estatal;Urbano;Tucuman 3750  MONTE CHINGOLO;1825;nan;4230-9407;6434005;MONTE CHINGOLO;LANUS;escuela507@yahoo.com.ar; oee1110507@abc.gov.ar;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60182100;JARDÍN DE INFANTES PATITO FEO;Privado;Urbano;PALMA E/ ROMA Y ACEVEDO 3453  ;1826;011;4288-2470;6434007;REMEDIOS DE ESCALADA DE SAN MARTIN;LANUS;jardinpatitofeo@yahoo.com.ar; dji1111981@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60182200;ESCUELA DE EDUCACIÓN PRIMARIA Nº42 MARIANO MORENO;Estatal;Urbano;ROMA E/ AZURDUY Y SAN LORENZO 2757  ;1826;011;4202-0083;6434007;REMEDIOS DE ESCALADA DE SAN MARTIN;LANUS;ep42lanus@live.com.ar; pp111042@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60182300;JARDÍN DE INFANTES Nº929;Estatal;Urbano;CENTENARIO URUGUAYO E/ PURITA Y BERON 2469  ;1824;011;4220-3108;6434005;MONTE CHINGOLO;LANUS;andaluz929@hotmail.com; oji1110929@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60182400;ESCUELA DR. PEDRO IGNACIO DE CASTRO BARROS;Privado;Urbano;CASTRO E/ FERRARA Y HARRASPIN 1061  ;1826;011;4242-5802;6434007;REMEDIOS DE ESCALADA DE SAN MARTIN;LANUS;castrobarros279@hotmail.com; dpp1110279@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60182500;JARDÍN DE INFANTES Nº906 NARCISO M OCAMPO;Estatal;Rural;716 E/ 711 Y 713 S/N  ;7005;02262;49-2059;6581003;CLARAZ;NECOCHEA;oji0750906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60182700;ESCUELA DE EDUCACIÓN PRIMARIA Nº30 MARTÍN MIGUEL DE GÜEMES;Estatal;Rural;JUAN N.FERNANDEZ S/N  SAN CALA;7011;02262;481679;6581010;JUAN N FERNANDEZ;NECOCHEA;vivi_cord@yahoo.com.ar; opp0750030@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60182800;ESCUELA DE EDUCACIÓN PRIMARIA Nº42 CHACO;Estatal;Urbano;22 E/25 Y 27 1180  LA DULCE;7637;02264;43-2426;6581019;NICANOR OLIVERA;NECOCHEA;escuela42@hotmail.com; opp0750042@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60183100;ESCUELA DE EDUCACIÓN PRIMARIA Nº43 LUIS VERNET;Estatal;Rural;RUTA 86 S/N  SAN JOSE;7630;02262;15-46-4630;6581024;SAN JOSE (VILLA DIEGO);NECOCHEA;saya696nec@hotmail.com; opp0750043@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60183200;ESCUELA DE EDUCACIÓN PRIMARIA Nº21 CONSTANCIO C. VIGIL;Estatal;Rural;PSJE.LAS CALAVERAS S/N  LAS CALAVERAS;7005;02262;15-35-3617;6581003;CLARAZ;NECOCHEA;vivi_cord@yahoo.com.ar; opp0750021@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60183300;CENTRO DE EDUCACION DE ADULTOS Nº710;Estatal;Urbano;26 290  ;7011;02262;449-9058;6581010;JUAN N FERNANDEZ;NECOCHEA;asil_ro@yahoo.com.ar; odc0750710@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60183400;JARDÍN DE INFANTES Nº909 SAN NICOLAS DE BARI;Estatal;Rural;LUGONES E/ STORANI Y CANE S/N  ;2903;03461;59-0065;6763013;EREZCANO;SAN NICOLAS;vivi.lacume@gmail.com; oji0970909@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60183500;JARDÍN DE INFANTES Nº913 SAN MIGUEL ARCANGEL;Estatal;Urbano;ACEVEDO (ESQ. JUAN MANUEL DE ROSAS) 3208  ;2903;03461;45-3834;6763012;CAMPOS SALLES;SAN NICOLAS;jardincampossalles@yahoo.com.ar; oji0970913@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60183600;ESCUELA DE EDUCACIÓN PRIMARIA Nº9 ANTARTIDA ARGENTINA;Estatal;Rural;CUARTEL VIII S/N  LA CLEMENCIA;2905;03461;30-6288;6763014;GENERAL ROJO;SAN NICOLAS;ep9antartidaargentina@hotmail.com; opp0970009@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60183700;ESCUELA DE EDUCACIÓN PRIMARIA Nº24 SAN FRANCISCO DEL MONTE DE ORO;Estatal;Urbano;CUARTEL VII-CAMPO SALLES S/N  LA PANTANOSA;2903;03461;15-30-6512;6763012;CAMPOS SALLES;SAN NICOLAS;egb24bsas@hotmail.com; opp0970024@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60183800;JARDÍN DE INFANTES Nº905 MERCEDITAS DE SAN MARTIN;Estatal;Urbano;ENTRE RIOS Y URQUIZA S/N  ;2907;03461;49-2371;6763003;CONESA;SAN NICOLAS;marielaqangelini@hotmail.com; oji0970905@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60183900;ESCUELA DE EDUCACIÓN PRIMARIA Nº14 NUESTRA SEÑORA DEL CARMEN;Estatal;Urbano;ENTRE RIOS 325  ;2907;03461;49-2071;6763003;CONESA;SAN NICOLAS;ep14conesa@hotmail.com; pp097014@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60184000;ESCUELA DE EDUCACIÓN PRIMARIA Nº13 GENERAL JOSÉ DE SAN MARTIN;Estatal;Urbano;MARTIN RICARTE S/N  ;2905;03461;49-1187;6763008;SAN NICOLAS DE LOS ARROYOS;SAN NICOLAS;escuelaprimaria13gr@hotmail.com; opp0970013@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60184200;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 JUAN BAUTISTA ALBERDI;Estatal;Urbano;BELGRANO ESQ. BUENOS AIRES 480  ;2907;0336;449-2188;6763003;CONESA;SAN NICOLAS;tecnica1@coopconesa.com.ar; omt0970001@abc.gov.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60184300;JARDÍN DE INFANTES Nº907 GRAL ANSELMO ROJO;Estatal;Urbano;CARLOS GARDEL 67  ;2905;03461;49-1532;6763014;GENERAL ROJO;SAN NICOLAS;mari.moffa@gmail.com; oji0970907@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60184400;ESCUELA DE EDUCACIÓN PRIMARIA Nº41 JOSÉ HERNANDEZ;Estatal;Rural;VILLA ESPERANZA S/N  VILLA ESPERANZA;2907;0336;464-7208;6763008;SAN NICOLAS DE LOS ARROYOS;SAN NICOLAS;ep41sn@yahoo.com.ar; pp097041@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60184500;ESCUELA DE EDUCACIÓN PRIMARIA Nº5 CORONEL FELIX BOGADO;Estatal;Rural;CUARTEL V ZONA RURAL S/N  ;2907;03461;15-30-6246;6763003;CONESA;SAN NICOLAS;epn5_rural@hotmail.com; opp0970005@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60184600;ESCUELA DE EDUCACIÓN PRIMARIA Nº15 MARIANO SANTOS MUTTI;Estatal;Rural;CUARTEL VIII S/N  MANANTIALES CHICOS;2914;03407;439851;6665016;VILLA RAMALLO;RAMALLO;ro86epn15@gmail.com; opp0860015@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60184700;COLEGIO JUSTA SILVIA MAYORA;Privado;Urbano;ALBERDI 50  ;7635;02261;44-2086;6476023;LOBERIA;LOBERIA;parroloberia@yahoo.com.ar; dpp0600298@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60184800;ESCUELA DE EDUCACIÓN PRIMARIA Nº43;Estatal;Rural;RUTA 88 KM 90 / LAS TEJAS S/N  MOROMAR;7635;nan;nan;6476023;LOBERIA;LOBERIA;opp0600043@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60184900;JARDÍN DE INFANTES Nº907 PASO DE LAS TOSCAS;Estatal;Rural;RUTA 88 KM 82 S/N  LAS TOSCAS;7635;02262;15-46-4737;6476023;LOBERIA;LOBERIA;patomutagh@hotmail.com; oji0600907@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60185000;JARDÍN DE INFANTES Nº911;Estatal;Urbano;BARREIRA Y AV.SAN MARTIN 50  ;7635;02261;44-3921;6476023;LOBERIA;LOBERIA;0ji060911@abc.gov.ar; ji060911@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60185300;ESCUELA DE EDUCACIÓN PRIMARIA Nº30 AGUSTINA R. DE GASILLON;Estatal;Rural;Camino Vecinal S/N  ARENAS VERDES;7635;nan;nan;6476023;LOBERIA;LOBERIA;sylvinacebryan_tere@hotmail.com; opp0600030@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60185500;ESCUELA DE EDUCACIÓN PRIMARIA Nº40 MARIA EUGENIA BOURDONCLE DE CAUSSADE;Estatal;Rural; S/N  SANTA MARIA;7635;02261;15-40-2028;6476023;LOBERIA;LOBERIA;marielaparra2009@hotmail.com; opp0600040@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60185600;ESCUELA DE EDUCACIÓN PRIMARIA Nº31;Estatal;Rural;PASAJE LA FLORESTA S/N  LA FLORESTA;7635;02261;40-2025;6476023;LOBERIA;LOBERIA;laflorecita31@hotmail.com.ar; opp0600031@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60185700;JARDÍN DE INFANTES Nº905 DELFINA DIVI ALE;Estatal;Rural;DIGLIO Y SUITH S/N  ;7633;02262;44-3873;6476030;TAMANGUEYU;LOBERIA;905pochi@gmail.com; oji0600905@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60185800;JARDÍN DE INFANTES Nº904;Estatal;Urbano;F. GONZALEZ E/BURGOS Y DEFERRARI 687  ;7635;02261;44-0206;6476023;LOBERIA;LOBERIA;ji060904@abc.gov.ar; ji060904@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60185900;JARDÍN DE INFANTES Nº906;Estatal;Urbano;FCO. DE CASO E/ALVEAR Y NECOCHEA 260  ;7635;02261;44-0424;6476023;LOBERIA;LOBERIA;ji060906@abc.gov.ar; ji060906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60186000;JARDÍN DE INFANTES Nº903 CONSTANCIO C.VIGIL;Estatal;Urbano;JUAN MANUEL DE ROSAS Y LEJARRAGA S/N  ;8146;0291;491-7112;6875026;MAYOR BURATOVICH;VILLARINO;nabenv@hotmail.com; oji1100903@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60186100;JARDÍN DE INFANTES Nº906 ANTONIO ODRIOZOLA;Estatal;Rural;6 y 9 S/N  ;8144;0291;491-0033;6875040;TENIENTE ORIGONE;VILLARINO;jardindeorigone@yahoo.com.ar; oji1100906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
